ID,probability
TEST_00000,0.06261512041717465
TEST_00001,0.06835087295947351
TEST_00002,0.16683860944979023
TEST_00003,0.127562326664572
TEST_00004,0.6543219218908469
TEST_00005,0.14646966588646862
TEST_00006,0.5592351503930808
TEST_00007,0.5403303445794057
TEST_00008,0.2774247232449711
TEST_00009,0.06283097416996056
TEST_00010,0.08662333062516248
TEST_00011,0.5678720511168069
TEST_00012,0.44950752334063054
TEST_00013,0.5177213261647134
TEST_00014,0.3657721010231578
TEST_00015,0.06362538105803318
TEST_00016,0.25432768030876607
TEST_00017,0.4416020251203444
TEST_00018,0.20704730577984856
TEST_00019,0.7943858342017707
TEST_00020,0.2884864096623787
TEST_00021,0.498980036799863
TEST_00022,0.2962934575329113
TEST_00023,0.23902312196629913
TEST_00024,0.5052539649375145
TEST_00025,0.06271793189908244
TEST_00026,0.1293354868136743
TEST_00027,0.49865008092760515
TEST_00028,0.20390068810954973
TEST_00029,0.1958440742238442
TEST_00030,0.5577073467427899
TEST_00031,0.19355846385170686
TEST_00032,0.16719953516978878
TEST_00033,0.1916478593877972
TEST_00034,0.5303800028419201
TEST_00035,0.062147886557749894
TEST_00036,0.14519902157576045
TEST_00037,0.382913743886232
TEST_00038,0.3390256282371898
TEST_00039,0.06469313865727913
TEST_00040,0.2095269232294666
TEST_00041,0.17209990750747825
TEST_00042,0.3532693839543617
TEST_00043,0.3629787509827304
TEST_00044,0.36796368668611024
TEST_00045,0.5885441828249772
TEST_00046,0.630487535555267
TEST_00047,0.2578894953521064
TEST_00048,0.1434893777948903
TEST_00049,0.4786079260128665
TEST_00050,0.3169250656509148
TEST_00051,0.18593930213838727
TEST_00052,0.1469507140089855
TEST_00053,0.7864696815126271
TEST_00054,0.061790387757083454
TEST_00055,0.500442624221941
TEST_00056,0.35170355914204815
TEST_00057,0.2352971070482369
TEST_00058,0.6526275954385535
TEST_00059,0.22080550481148528
TEST_00060,0.06914524085370387
TEST_00061,0.17572043828654277
TEST_00062,0.3725978549847536
TEST_00063,0.39735274485321914
TEST_00064,0.23823989484927702
TEST_00065,0.06682841421831583
TEST_00066,0.2999312516879404
TEST_00067,0.2074734559732076
TEST_00068,0.35894758117065956
TEST_00069,0.5992684917112611
TEST_00070,0.5077820724932929
TEST_00071,0.38972904700928485
TEST_00072,0.2668339959868949
TEST_00073,0.30348478586141175
TEST_00074,0.15145899721057626
TEST_00075,0.30797531722873284
TEST_00076,0.07060448905888463
TEST_00077,0.0682710733162868
TEST_00078,0.14969931790949192
TEST_00079,0.2084485644648196
TEST_00080,0.413179293881303
TEST_00081,0.06270081183349457
TEST_00082,0.20434299882516074
TEST_00083,0.17432919388886323
TEST_00084,0.5686409456705565
TEST_00085,0.4971228269913162
TEST_00086,0.0629225893449349
TEST_00087,0.516795988022163
TEST_00088,0.16827621801760997
TEST_00089,0.4831184604124066
TEST_00090,0.2467034293903204
TEST_00091,0.11179824507396599
TEST_00092,0.4583578355527232
TEST_00093,0.6947278683339881
TEST_00094,0.06207487219261039
TEST_00095,0.06242064141547392
TEST_00096,0.5969387020428552
TEST_00097,0.12597018586075948
TEST_00098,0.46874185905465027
TEST_00099,0.2987243104806487
TEST_00100,0.12018425025847738
TEST_00101,0.22211937843777244
TEST_00102,0.47217024906885546
TEST_00103,0.3216476577079666
TEST_00104,0.4199778736736669
TEST_00105,0.6185158877572846
TEST_00106,0.331049871400498
TEST_00107,0.062160612020551724
TEST_00108,0.41756486605460497
TEST_00109,0.06200852720446213
TEST_00110,0.5547855397221774
TEST_00111,0.5405285950595679
TEST_00112,0.07108657914007989
TEST_00113,0.4796997142932098
